epoch,acc,loss,val_acc,val_loss
0,0.1767955867789727,2.2528381314725507,0.0,1.9548604749143124
1,0.16574586310439346,1.9419807037595886,0.1875000069849193,1.9455567598342896
2,0.24309392948506287,1.922958399709417,0.12500000419095159,1.9429037310183048
3,0.23204420679840593,1.8905885667432079,0.312500006519258,1.9371458739042282
4,0.2817679654333473,1.8275674924007437,0.1875000037252903,1.8961102403700352
5,0.37016575713513306,1.6753032391901175,0.15625000558793545,1.7889728285372257
6,0.44751382433907105,1.4726716487447202,0.4062500107102096,1.5434321723878384
7,0.4917127187080805,1.3465443200827962,0.5937500111758709,1.3741280250251293
8,0.5966850988443385,1.1438614278208485,0.5625000079162419,1.2692248299717903
9,0.6187845452055747,1.0764320362668012,0.500000013038516,1.1756183095276356
10,0.6187845429004226,1.010090241610016,0.5625000158324838,1.196977673098445
11,0.6961326091987652,0.8555761886894374,0.5937500204890966,0.9704819098114967
12,0.7624309522341628,0.7170933832450467,0.7812500093132257,0.8499473948031664
13,0.7292817819513668,0.6241770805739566,0.6562500055879354,0.9325155988335609
14,0.7016574707479108,0.776876129662793,0.6875000167638063,0.7685572672635317
15,0.7403315015919301,0.6459646685594354,0.6250000139698386,1.0646796599030495
16,0.8121547061764733,0.5550580270876542,0.6562500121071935,0.7058215849101543
17,0.773480674179878,0.5941628709188482,0.6875000102445483,0.7389943022280931
18,0.8397790150747774,0.42724491622895827,0.7500000149011612,0.7535537406802177
19,0.8453038756360006,0.4056285656371169,0.6875000167638063,0.6503628138452768
20,0.8232044294394182,0.49846965309170727,0.6875000167638063,0.7659347653388977
21,0.8397790140868551,0.4014769582211642,0.8125000111758709,0.6232071062549949
22,0.8618784612713598,0.33193684048765437,0.781250013038516,0.7510218117386103
23,0.8453038766239229,0.3923914031902565,0.7500000149011612,0.6522319931536913
24,0.8508287371851463,0.4746621258104045,0.6875000121071935,0.9331821333616972
25,0.8563535975817159,0.34891006376244416,0.781250013038516,0.5546375988051295
26,0.8618784602834375,0.2909363563074756,0.8437500093132257,0.5677191121503711
27,0.8674033206800071,0.33838580291491843,0.8125000111758709,0.5663440627977252
28,0.8453038744834247,0.3257263634195976,0.8125000111758709,0.6583455544896424
29,0.872928184369651,0.3085494274324969,0.8437500093132257,0.718531783670187
